ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	dp2.AirportSimulation	airportsimulation	1590233309616	 	3.3.1
REQUEST	203		Home	1590233313034	1590233313037	OK	 
REQUEST	193		Home	1590233313034	1590233313037	OK	 
REQUEST	213		Home	1590233313034	1590233313037	OK	 
REQUEST	153		Home	1590233313034	1590233313037	OK	 
REQUEST	173		Home	1590233313034	1590233313037	OK	 
REQUEST	163		Home	1590233313034	1590233313037	OK	 
USER	AirlineEditAirport	154	START	1590233313131	1590233313131
USER	AirlineCreateAirport	164	START	1590233313131	1590233313131
USER	ClientListAirports	194	START	1590233313131	1590233313131
USER	AirlineShowAirport	174	START	1590233313131	1590233313131
USER	ClientShowAirport	204	START	1590233313131	1590233313131
USER	AirlineListAirports	184	START	1590233313131	1590233313131
USER	AirlineDeleteAirport	214	START	1590233313131	1590233313131
REQUEST	204		Home	1590233313131	1590233313134	OK	 
REQUEST	174		Home	1590233313131	1590233313134	OK	 
REQUEST	214		Home	1590233313131	1590233313134	OK	 
REQUEST	184		Home	1590233313131	1590233313134	OK	 
REQUEST	154		Home	1590233313131	1590233313134	OK	 
REQUEST	164		Home	1590233313131	1590233313134	OK	 
REQUEST	194		Home	1590233313131	1590233313134	OK	 
USER	ClientListAirports	195	START	1590233313232	1590233313232
USER	AirlineListAirports	185	START	1590233313232	1590233313232
USER	AirlineEditAirport	155	START	1590233313232	1590233313232
USER	AirlineShowAirport	175	START	1590233313232	1590233313232
USER	AirlineCreateAirport	165	START	1590233313232	1590233313232
USER	AirlineDeleteAirport	215	START	1590233313232	1590233313232
USER	ClientShowAirport	205	START	1590233313232	1590233313232
REQUEST	195		Home	1590233313233	1590233313236	OK	 
REQUEST	215		Home	1590233313233	1590233313236	OK	 
REQUEST	175		Home	1590233313233	1590233313236	OK	 
REQUEST	205		Home	1590233313233	1590233313236	OK	 
REQUEST	155		Home	1590233313233	1590233313236	OK	 
REQUEST	185		Home	1590233313233	1590233313236	OK	 
REQUEST	165		Home	1590233313233	1590233313236	OK	 
USER	AirlineDeleteAirport	216	START	1590233313330	1590233313330
USER	AirlineEditAirport	156	START	1590233313330	1590233313330
USER	AirlineListAirports	186	START	1590233313330	1590233313330
USER	AirlineShowAirport	176	START	1590233313330	1590233313330
USER	ClientListAirports	196	START	1590233313330	1590233313330
USER	ClientShowAirport	206	START	1590233313330	1590233313330
USER	AirlineCreateAirport	166	START	1590233313330	1590233313330
REQUEST	176		Home	1590233313330	1590233313333	OK	 
REQUEST	206		Home	1590233313330	1590233313334	OK	 
REQUEST	156		Home	1590233313330	1590233313333	OK	 
REQUEST	186		Home	1590233313330	1590233313334	OK	 
REQUEST	196		Home	1590233313330	1590233313333	OK	 
REQUEST	166		Home	1590233313330	1590233313333	OK	 
REQUEST	216		Home	1590233313330	1590233313333	OK	 
USER	AirlineDeleteAirport	217	START	1590233313433	1590233313433
USER	ClientShowAirport	207	START	1590233313433	1590233313433
USER	AirlineEditAirport	157	START	1590233313433	1590233313433
USER	ClientListAirports	197	START	1590233313433	1590233313433
USER	AirlineCreateAirport	167	START	1590233313433	1590233313433
USER	AirlineShowAirport	177	START	1590233313433	1590233313433
USER	AirlineListAirports	187	START	1590233313433	1590233313433
REQUEST	207		Home	1590233313434	1590233313437	OK	 
REQUEST	167		Home	1590233313434	1590233313437	OK	 
REQUEST	187		Home	1590233313434	1590233313437	OK	 
REQUEST	157		Home	1590233313434	1590233313437	OK	 
REQUEST	177		Home	1590233313434	1590233313437	OK	 
REQUEST	197		Home	1590233313434	1590233313437	OK	 
REQUEST	217		Home	1590233313434	1590233313437	OK	 
USER	AirlineEditAirport	218	START	1590233313539	1590233313539
USER	AirlineShowAirport	238	START	1590233313539	1590233313539
USER	ClientShowAirport	268	START	1590233313539	1590233313539
USER	AirlineDeleteAirport	278	START	1590233313539	1590233313539
USER	AirlineCreateAirport	228	START	1590233313539	1590233313539
USER	ClientListAirports	258	START	1590233313539	1590233313539
USER	AirlineListAirports	248	START	1590233313539	1590233313539
REQUEST	218		Home	1590233313540	1590233313542	OK	 
REQUEST	238		Home	1590233313540	1590233313542	OK	 
REQUEST	248		Home	1590233313540	1590233313542	OK	 
REQUEST	268		Home	1590233313540	1590233313542	OK	 
REQUEST	258		Home	1590233313540	1590233313542	OK	 
REQUEST	228		Home	1590233313540	1590233313542	OK	 
REQUEST	278		Home	1590233313540	1590233313542	OK	 
USER	AirlineListAirports	249	START	1590233313641	1590233313641
USER	AirlineCreateAirport	229	START	1590233313641	1590233313641
USER	AirlineEditAirport	219	START	1590233313641	1590233313641
USER	ClientShowAirport	269	START	1590233313641	1590233313641
USER	AirlineShowAirport	239	START	1590233313641	1590233313641
USER	AirlineDeleteAirport	279	START	1590233313641	1590233313641
USER	ClientListAirports	259	START	1590233313641	1590233313641
REQUEST	239		Home	1590233313641	1590233313644	OK	 
REQUEST	279		Home	1590233313641	1590233313644	OK	 
REQUEST	219		Home	1590233313641	1590233313644	OK	 
REQUEST	249		Home	1590233313641	1590233313644	OK	 
REQUEST	259		Home	1590233313641	1590233313644	OK	 
REQUEST	229		Home	1590233313641	1590233313644	OK	 
REQUEST	269		Home	1590233313641	1590233313644	OK	 
USER	AirlineDeleteAirport	280	START	1590233313744	1590233313744
USER	ClientListAirports	260	START	1590233313744	1590233313744
USER	AirlineListAirports	250	START	1590233313744	1590233313744
USER	AirlineCreateAirport	230	START	1590233313744	1590233313744
USER	AirlineEditAirport	220	START	1590233313744	1590233313744
